Customer_ID,Date,Product
1,2025-04-05,burger
1,2025-04-05,fries
1,2025-04-05,onion_rings
1,2025-04-25,burger
1,2025-04-25,fries
1,2025-04-25,coffee
1,2025-04-25,onion_rings
1,2025-03-13,soda
1,2025-03-13,burger
1,2025-03-13,onion_rings
1,2025-01-01,soda
1,2025-01-01,pizza
1,2025-01-01,breadsticks
1,2025-01-01,salad
2,2025-02-13,smoothie
2,2025-02-13,salad
2,2025-02-13,soup
2,2025-04-14,smoothie
2,2025-04-14,salad
2,2025-04-14,wrap
2,2025-04-14,soup
2,2025-02-18,smoothie
2,2025-02-18,salad
2,2025-02-18,wrap
2,2025-02-18,soup
2,2025-04-21,soup
2,2025-04-21,soda
2,2025-04-21,smoothie
2,2025-04-21,wrap
2,2025-04-21,salad
3,2025-01-13,smoothie
3,2025-01-13,salad
3,2025-01-13,wrap
3,2025-01-13,soup
3,2025-02-17,smoothie
3,2025-02-17,salad
3,2025-02-17,wrap
3,2025-02-17,soup
4,2025-04-04,bagel
4,2025-04-04,smoothie
4,2025-04-04,coffee
4,2025-04-04,muffin
4,2025-03-23,bagel
4,2025-03-23,smoothie
4,2025-03-23,coffee
4,2025-03-23,muffin
5,2025-01-05,guacamole
5,2025-01-05,nachos
5,2025-01-05,tacos
6,2025-03-05,soda
6,2025-03-05,dip_sauce
6,2025-03-05,fries
6,2025-03-05,smoothie
6,2025-04-06,soda
6,2025-04-06,wings
6,2025-04-06,fries
6,2025-04-06,dip_sauce
7,2025-04-21,soda
7,2025-04-21,burger
7,2025-04-21,fries
7,2025-04-21,onion_rings
8,2025-03-01,salsa
8,2025-03-01,nachos
8,2025-03-01,smoothie
8,2025-03-01,guacamole
8,2025-03-01,tacos
8,2025-04-09,guacamole
8,2025-04-09,nachos
8,2025-04-09,tacos
8,2025-04-03,rice_bowl
8,2025-04-03,miso_soup
8,2025-04-03,sushi
8,2025-04-03,edamame
8,2025-03-06,smoothie
8,2025-03-06,salad
8,2025-03-06,wrap
8,2025-03-06,soup
9,2025-02-17,bagel
9,2025-02-17,smoothie
9,2025-02-17,coffee
9,2025-02-17,muffin
9,2025-04-28,rice_bowl
9,2025-04-28,breadsticks
9,2025-04-28,soda
9,2025-04-28,pizza
9,2025-04-28,salad
9,2025-01-31,soda
9,2025-01-31,pizza
9,2025-01-31,breadsticks
9,2025-04-08,soda
9,2025-04-08,pizza
9,2025-04-08,breadsticks
10,2025-02-24,bagel
10,2025-02-24,smoothie
10,2025-02-24,coffee
10,2025-02-24,muffin
10,2025-04-02,smoothie
10,2025-04-02,salad
10,2025-04-02,wrap
10,2025-04-02,soup
11,2025-01-09,breadsticks
11,2025-01-09,soda
11,2025-01-09,wings
11,2025-01-09,pizza
11,2025-01-09,salad
12,2025-04-21,soda
12,2025-04-21,burger
12,2025-04-21,fries
12,2025-04-21,salad
12,2025-02-01,soup
12,2025-02-01,dip_sauce
12,2025-02-01,smoothie
12,2025-02-01,wrap
12,2025-02-01,salad
12,2025-02-15,soda
12,2025-02-15,burger
12,2025-02-15,fries
12,2025-02-15,wings
12,2025-02-15,onion_rings
12,2025-01-08,breadsticks
12,2025-01-08,soda
12,2025-01-08,burger
12,2025-01-08,fries
12,2025-01-08,onion_rings
13,2025-01-24,soda
13,2025-01-24,pizza
13,2025-01-24,breadsticks
13,2025-01-24,salad
13,2025-01-07,soda
13,2025-01-07,pizza
13,2025-01-07,breadsticks
13,2025-01-07,salad
13,2025-04-19,guacamole
13,2025-04-19,salsa
13,2025-04-19,nachos
13,2025-04-19,tacos
13,2025-01-22,guacamole
13,2025-01-22,salsa
13,2025-01-22,nachos
13,2025-03-31,smoothie
13,2025-03-31,salad
13,2025-03-31,wrap
13,2025-03-31,soup
13,2025-01-20,soda
13,2025-01-20,pizza
13,2025-01-20,breadsticks
13,2025-01-20,salad
14,2025-03-16,burger
14,2025-03-16,fries
14,2025-03-16,onion_rings
15,2025-04-21,soda
15,2025-04-21,wings
15,2025-04-21,fries
15,2025-04-21,dip_sauce
16,2025-03-26,salsa
16,2025-03-26,soda
16,2025-03-26,nachos
16,2025-03-26,guacamole
16,2025-03-26,tacos
17,2025-03-27,soda
17,2025-03-27,pizza
17,2025-03-27,breadsticks
17,2025-03-27,salad
17,2025-01-10,guacamole
17,2025-01-10,nachos
17,2025-01-10,tacos
18,2025-02-17,soda
18,2025-02-17,pizza
18,2025-02-17,breadsticks
18,2025-02-17,salad
18,2025-03-20,smoothie
18,2025-03-20,salad
18,2025-03-20,wrap
18,2025-03-20,soup
19,2025-02-03,breadsticks
19,2025-02-03,soda
19,2025-02-03,pizza
19,2025-02-03,miso_soup
19,2025-02-03,salad
19,2025-04-02,soda
19,2025-04-02,pizza
19,2025-04-02,breadsticks
19,2025-04-02,salad
19,2025-04-27,soda
19,2025-04-27,burger
19,2025-04-27,fries
19,2025-04-27,onion_rings
19,2025-01-06,soda
19,2025-01-06,pizza
19,2025-01-06,breadsticks
19,2025-01-06,salad
20,2025-01-15,bagel
20,2025-01-15,smoothie
20,2025-01-15,coffee
20,2025-01-15,muffin
20,2025-03-16,soda
20,2025-03-16,burger
20,2025-03-16,onion_rings
21,2025-02-01,soda
21,2025-02-01,wings
21,2025-02-01,fries
21,2025-02-01,dip_sauce
21,2025-02-22,soda
21,2025-02-22,fries
21,2025-02-22,dip_sauce
22,2025-04-05,smoothie
22,2025-04-05,salad
22,2025-04-05,wrap
22,2025-04-05,soup
23,2025-01-14,breadsticks
23,2025-01-14,soup
23,2025-01-14,soda
23,2025-01-14,pizza
23,2025-01-14,salad
24,2025-01-29,smoothie
24,2025-01-29,salad
24,2025-01-29,wrap
24,2025-01-29,soup
24,2025-01-09,rice_bowl
24,2025-01-09,miso_soup
24,2025-01-09,sushi
24,2025-01-09,edamame
24,2025-03-28,miso_soup
24,2025-03-28,smoothie
24,2025-03-28,coffee
24,2025-03-28,bagel
24,2025-03-28,muffin
25,2025-03-18,smoothie
25,2025-03-18,salad
25,2025-03-18,wrap
25,2025-03-18,soup
25,2025-01-15,soda
25,2025-01-15,burger
25,2025-01-15,fries
25,2025-01-15,smoothie
25,2025-02-16,smoothie
25,2025-02-16,salad
25,2025-02-16,wrap
25,2025-02-16,soup
25,2025-01-16,smoothie
25,2025-01-16,salad
25,2025-01-16,wrap
25,2025-01-16,soup
26,2025-03-12,rice_bowl
26,2025-03-12,miso_soup
26,2025-03-12,sushi
26,2025-03-12,edamame
26,2025-04-06,bagel
26,2025-04-06,smoothie
26,2025-04-06,coffee
26,2025-04-06,muffin
26,2025-04-17,rice_bowl
26,2025-04-17,miso_soup
26,2025-04-17,edamame
26,2025-02-26,rice_bowl
26,2025-02-26,miso_soup
26,2025-02-26,sushi
26,2025-02-26,edamame
26,2025-04-05,soda
26,2025-04-05,wings
26,2025-04-05,dip_sauce
26,2025-04-05,smoothie
27,2025-01-26,smoothie
27,2025-01-26,salad
27,2025-01-26,wrap
27,2025-04-09,smoothie
27,2025-04-09,salad
27,2025-04-09,wrap
27,2025-04-09,soup
28,2025-02-01,guacamole
28,2025-02-01,salsa
28,2025-02-01,nachos
28,2025-02-01,tacos
28,2025-04-24,pizza
28,2025-04-24,smoothie
28,2025-04-24,wrap
28,2025-04-24,salad
28,2025-02-28,smoothie
28,2025-02-28,salad
28,2025-02-28,wrap
28,2025-02-28,soup
28,2025-03-18,smoothie
28,2025-03-18,salad
28,2025-03-18,wrap
28,2025-03-18,soup
29,2025-02-27,soda
29,2025-02-27,wings
29,2025-02-27,fries
29,2025-02-27,dip_sauce
29,2025-04-07,bagel
29,2025-04-07,smoothie
29,2025-04-07,coffee
29,2025-04-07,muffin
29,2025-03-22,rice_bowl
29,2025-03-22,smoothie
29,2025-03-22,bagel
29,2025-03-22,muffin
29,2025-04-25,smoothie
29,2025-04-25,salad
